,city,team1
245,Jaipur,Rajasthan Royals
246,Mumbai,Mumbai Indians
247,Chennai,Chennai Super Kings
248,Hyderabad,Deccan Chargers
249,Mumbai,Pune Warriors
250,Kolkata,Rajasthan Royals
251,Kochi,Chennai Super Kings
252,Delhi,Deccan Chargers
253,Mumbai,Pune Warriors
254,Kolkata,Kochi Tuskers Kerala
255,Chandigarh,Kings XI Punjab
256,Mumbai,Mumbai Indians
257,Kolkata,Kolkata Knight Riders
258,Delhi,Delhi Daredevils
259,Hyderabad,Mumbai Indians
260,Jaipur,Kochi Tuskers Kerala
261,Chennai,Chennai Super Kings
262,Delhi,Delhi Daredevils
263,Mumbai,Pune Warriors
264,Kochi,Deccan Chargers
265,Delhi,Kolkata Knight Riders
266,Jaipur,Mumbai Indians
267,Bangalore,Royal Challengers Bangalore
268,Kochi,Delhi Daredevils
269,Kolkata,Kings XI Punjab
270,Jaipur,Pune Warriors
271,Chennai,Chennai Super Kings
272,Mumbai,Mumbai Indians
273,Delhi,Delhi Daredevils
274,Hyderabad,Kolkata Knight Riders
275,Chennai,Rajasthan Royals
276,Mumbai,Mumbai Indians
277,Kochi,Kochi Tuskers Kerala
278,Hyderabad,Deccan Chargers
279,Bangalore,Royal Challengers Bangalore
280,Kolkata,Chennai Super Kings
281,Mumbai,Mumbai Indians
282,Bangalore,Kochi Tuskers Kerala
283,Chandigarh,Kings XI Punjab
284,Jaipur,Chennai Super Kings
285,Hyderabad,Deccan Chargers
286,Chandigarh,Kings XI Punjab
287,Jaipur,Rajasthan Royals
288,Chennai,Chennai Super Kings
289,Indore,Kochi Tuskers Kerala
290,Bangalore,Kolkata Knight Riders
291,Mumbai,Deccan Chargers
292,Dharamsala,Kings XI Punjab
293,Indore,Rajasthan Royals
294,Mumbai,Pune Warriors
295,Dharamsala,Kings XI Punjab
296,Chennai,Chennai Super Kings
297,Mumbai,Pune Warriors
298,Mumbai,Mumbai Indians
299,Dharamsala,Deccan Chargers
300,Delhi,Delhi Daredevils
301,Bangalore,Chennai Super Kings
302,Kolkata,Kolkata Knight Riders
303,Mumbai,Royal Challengers Bangalore
304,Mumbai,Kolkata Knight Riders
305,Chennai,Royal Challengers Bangalore
306,Chennai,Chennai Super Kings
307,Chennai,Chennai Super Kings
308,Kolkata,Kolkata Knight Riders
309,Mumbai,Pune Warriors
310,Jaipur,Rajasthan Royals
311,Bangalore,Royal Challengers Bangalore
312,Visakhapatnam,Chennai Super Kings
313,Jaipur,Rajasthan Royals
314,Pune,Pune Warriors
315,Visakhapatnam,Deccan Chargers
316,Bangalore,Kolkata Knight Riders
317,Delhi,Chennai Super Kings
318,Mumbai,Mumbai Indians
319,Chennai,Royal Challengers Bangalore
320,Chandigarh,Pune Warriors
321,Kolkata,Rajasthan Royals
322,Delhi,Deccan Chargers
323,Pune,Chennai Super Kings
324,Kolkata,Kings XI Punjab
325,Bangalore,Rajasthan Royals
326,Mumbai,Mumbai Indians
327,Jaipur,Deccan Chargers
328,Bangalore,Pune Warriors
329,Chandigarh,Kings XI Punjab
330,Hyderabad,Deccan Chargers
331,Chennai,Chennai Super Kings
332,Chandigarh,Kings XI Punjab
333,Chennai,Rajasthan Royals
334,Delhi,Pune Warriors
335,Mumbai,Mumbai Indians
336,Cuttack,Deccan Chargers
337,Jaipur,Royal Challengers Bangalore
338,Pune,Pune Warriors
339,Chandigarh,Kings XI Punjab
340,Pune,Deccan Chargers
341,Delhi,Delhi Daredevils
342,Chennai,Kings XI Punjab
343,Kolkata,Kolkata Knight Riders
344,Delhi,Delhi Daredevils
345,Mumbai,Deccan Chargers
346,Chennai,Chennai Super Kings
347,Cuttack,Deccan Chargers
348,Jaipur,Rajasthan Royals
349,Bangalore,Royal Challengers Bangalore
350,Pune,Mumbai Indians
351,Chennai,Chennai Super Kings
352,Kolkata,Kolkata Knight Riders
353,Chandigarh,Rajasthan Royals
354,Mumbai,Chennai Super Kings
355,Bangalore,Deccan Chargers
356,Delhi,Delhi Daredevils
357,Pune,Pune Warriors
358,Hyderabad,Kings XI Punjab
359,Mumbai,Mumbai Indians
360,Jaipur,Rajasthan Royals
361,Pune,Royal Challengers Bangalore
362,Kolkata,Mumbai Indians
363,Chennai,Delhi Daredevils
364,Jaipur,Rajasthan Royals
365,Chandigarh,Deccan Chargers
366,Bangalore,Royal Challengers Bangalore
367,Kolkata,Kolkata Knight Riders
368,Delhi,Kings XI Punjab
369,Mumbai,Kolkata Knight Riders
370,Dharamsala,Chennai Super Kings
371,Delhi,Royal Challengers Bangalore
372,Hyderabad,Rajasthan Royals
373,Dharamsala,Kings XI Punjab
374,Pune,Kolkata Knight Riders
375,Hyderabad,Deccan Chargers
376,Jaipur,Rajasthan Royals
377,Pune,Kolkata Knight Riders
378,Bangalore,Chennai Super Kings
379,Chennai,Chennai Super Kings
380,Chennai,Chennai Super Kings
381,Kolkata,Delhi Daredevils
382,Bangalore,Royal Challengers Bangalore
383,Hyderabad,Sunrisers Hyderabad
384,Delhi,Rajasthan Royals
385,Chennai,Mumbai Indians
386,Pune,Pune Warriors
387,Hyderabad,Royal Challengers Bangalore
388,Jaipur,Rajasthan Royals
389,Mumbai,Mumbai Indians
390,Chandigarh,Kings XI Punjab
391,Bangalore,Kolkata Knight Riders
392,Pune,Rajasthan Royals
393,Delhi,Delhi Daredevils
394,Mumbai,Mumbai Indians
395,Chennai,Royal Challengers Bangalore
396,Kolkata,Kolkata Knight Riders
397,Jaipur,Kings XI Punjab
398,Chennai,Pune Warriors
399,Chandigarh,Kings XI Punjab
400,Bangalore,Delhi Daredevils
401,Pune,Sunrisers Hyderabad
402,Jaipur,Rajasthan Royals
403,Delhi,Chennai Super Kings
404,Hyderabad,Kings XI Punjab
405,Kolkata,Kolkata Knight Riders
406,Bangalore,Rajasthan Royals
407,Delhi,Mumbai Indians
408,Chandigarh,Pune Warriors
409,Chennai,Rajasthan Royals
410,Bangalore,Royal Challengers Bangalore
411,Dharamsala,Kings XI Punjab
412,Kolkata,Kolkata Knight Riders
413,Chennai,Sunrisers Hyderabad
414,Kolkata,Kings XI Punjab
415,Jaipur,Sunrisers Hyderabad
416,Mumbai,Mumbai Indians
417,Chennai,Chennai Super Kings
418,Raipur,Delhi Daredevils
419,Jaipur,Royal Challengers Bangalore
420,Mumbai,Mumbai Indians
421,Pune,Chennai Super Kings
422,Hyderabad,Mumbai Indians
423,Raipur,Kolkata Knight Riders
424,Chennai,Chennai Super Kings
425,Pune,Royal Challengers Bangalore
426,Kolkata,Rajasthan Royals
427,Hyderabad,Delhi Daredevils
428,Bangalore,Royal Challengers Bangalore
429,Mumbai,Mumbai Indians
430,Jaipur,Pune Warriors
431,Bangalore,Sunrisers Hyderabad
432,Jaipur,Delhi Daredevils
433,Mumbai,Mumbai Indians
434,Hyderabad,Chennai Super Kings
435,Chandigarh,Kings XI Punjab
436,Pune,Kolkata Knight Riders
437,Delhi,Royal Challengers Bangalore
438,Pune,Pune Warriors
439,Chandigarh,Sunrisers Hyderabad
440,Ranchi,Royal Challengers Bangalore
441,Jaipur,Chennai Super Kings
442,Delhi,Delhi Daredevils
443,Mumbai,Sunrisers Hyderabad
444,Ranchi,Pune Warriors
445,Chennai,Chennai Super Kings
446,Mumbai,Mumbai Indians
447,Chandigarh,Royal Challengers Bangalore
448,Hyderabad,Sunrisers Hyderabad
449,Dharamsala,Kings XI Punjab
450,Pune,Pune Warriors
451,Bangalore,Royal Challengers Bangalore
452,Hyderabad,Kolkata Knight Riders
453,Delhi,Chennai Super Kings
454,Delhi,Sunrisers Hyderabad
455,Kolkata,Rajasthan Royals
456,Kolkata,Mumbai Indians
457,Abu Dhabi,Kolkata Knight Riders
458,Sharjah,Delhi Daredevils
459,Abu Dhabi,Chennai Super Kings
460,Abu Dhabi,Sunrisers Hyderabad
461,,Mumbai Indians
462,,Kolkata Knight Riders
463,Sharjah,Rajasthan Royals
464,Abu Dhabi,Chennai Super Kings
